date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:22:06	2169/2169	---M--	200	added ('OK')	image/png	etag:%22879-5820ab34cec40%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon-1.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon-1.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:06	2407/2407	---M--	200	added ('OK')	image/png	etag:%22967-5820ab34cec40%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon-2.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon-2.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:07	2305/2305	---M--	200	added ('OK')	image/png	etag:%22901-5820ab35c2e80%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon-3.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon-3.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:07	2248/2248	---M--	200	added ('OK')	image/png	etag:%228c8-5820ab35c2e80%22	https://preview.colorlib.com/theme/roberto/img/core-img/icon-4.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/icon-4.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:08	40113/40113	---M--	200	added ('OK')	image/jpeg	etag:%229cb1-5820aae0e2640%22	https://preview.colorlib.com/theme/roberto/img/bg-img/10.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/10.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:08	68169/68169	---M--	200	added ('OK')	image/jpeg	etag:%2210a49-5820aae78f600%22	https://preview.colorlib.com/theme/roberto/img/bg-img/11.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/11.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:09	375100/375100	---M--	200	added ('OK')	image/jpeg	etag:%225b93c-5820ab1cf7400%22	https://preview.colorlib.com/theme/roberto/img/bg-img/5.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/5.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:10	283255/283255	---M--	200	added ('OK')	image/jpeg	etag:%2245277-5820ab2680a80%22	https://preview.colorlib.com/theme/roberto/img/bg-img/6.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/6.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:11	576718/576718	---M--	200	added ('OK')	image/jpeg	etag:%228ccce-5820ab2a51380%22	https://preview.colorlib.com/theme/roberto/img/bg-img/7.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/7.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:12	492120/492120	---M--	200	added ('OK')	image/jpeg	etag:%2278258-5820ab32e67c0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/8.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/8.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:12	37454/37454	---M--	200	added ('OK')	image/jpeg	etag:%22924e-5820aaf3f5340%22	https://preview.colorlib.com/theme/roberto/img/bg-img/2.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/2.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:12	210249/210249	---M--	200	added ('OK')	image/jpeg	etag:%2233549-5820ab2d2da40%22	https://preview.colorlib.com/theme/roberto/img/bg-img/9.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/9.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:13	51747/51747	---M--	200	added ('OK')	image/jpeg	etag:%22ca23-5820ab0708040%22	https://preview.colorlib.com/theme/roberto/img/bg-img/3.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/3.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:14	62912/62912	---M--	200	added ('OK')	image/jpeg	etag:%22f5c0-5820ab1185900%22	https://preview.colorlib.com/theme/roberto/img/bg-img/4.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/4.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:15	1836/1836	---M--	200	added ('OK')	image/png	etag:%2272c-5820ab3b7bc00%22	https://preview.colorlib.com/theme/roberto/img/core-img/p1.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/p1.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:15	407224/407224	---M--	200	added ('OK')	image/jpeg	etag:%22636b8-5820aae4b2f40%22	https://preview.colorlib.com/theme/roberto/img/bg-img/1.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/1.jpg	(from https://preview.colorlib.com/theme/roberto/)
21:22:15	1239/1239	---M--	200	added ('OK')	image/png	etag:%224d7-5820ab3b7bc00%22	https://preview.colorlib.com/theme/roberto/img/core-img/p2.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/p2.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:16	1960/1960	---M--	200	added ('OK')	image/png	etag:%227a8-5820ab3c6fe40%22	https://preview.colorlib.com/theme/roberto/img/core-img/p3.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/p3.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:16	1520/1520	---M--	200	added ('OK')	image/png	etag:%225f0-5820ab3d64080%22	https://preview.colorlib.com/theme/roberto/img/core-img/p4.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/p4.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:17	2151/2151	---M--	200	added ('OK')	image/png	etag:%22867-5820ab3d64080%22	https://preview.colorlib.com/theme/roberto/img/core-img/p5.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/p5.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:17	2084/2084	---M--	200	added ('OK')	image/png	etag:%22824-5820ab3a879c0%22	https://preview.colorlib.com/theme/roberto/img/core-img/logo2.png	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/core-img/logo2.png	(from https://preview.colorlib.com/theme/roberto/)
21:22:17	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265c3b54b-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:18	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:%2214e4a-5820aa8460c00-gzip%22	https://preview.colorlib.com/theme/roberto/js/jquery.min.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/js/jquery.min.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:18	20611/20611	---M-Z	200	added ('OK')	application/javascript	etag:%225083-5820aa8649080-gzip%22	https://preview.colorlib.com/theme/roberto/js/popper.min.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/js/popper.min.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:19	55775/55775	---M-Z	200	added ('OK')	application/javascript	etag:%22d9df-5820aa7db3c40-gzip%22	https://preview.colorlib.com/theme/roberto/js/bootstrap.min.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:19	223935/223935	---MCZ	200	added ('OK')	application/javascript	etag:%2236abf-5820aa8a19980-gzip%22	https://preview.colorlib.com/theme/roberto/js/roberto.bundle.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/js/roberto.bundle.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:20	9976/9976	---M-Z	200	added ('OK')	application/javascript	etag:%2226f8-5820ab4411040-gzip%22	https://preview.colorlib.com/theme/roberto/js/default-assets/active.js	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/js/default-assets/active.js	(from https://preview.colorlib.com/theme/roberto/)
21:22:21	23644/23644	---M-Z	200	added ('OK')	text/css	etag:%225c5c-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/bootstrap.min.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:21	30387/30387	---M-Z	200	added ('OK')	text/css	etag:%2276b3-5c1f9e985c127-gzip%22	https://preview.colorlib.com/theme/roberto/css/animate.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/animate.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:23	15526/15526	---M-Z	200	added ('OK')	text/css	etag:%223ca6-5820aad0ac000-gzip%22	https://preview.colorlib.com/theme/roberto/css/default-assets/classy-nav.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/default-assets/classy-nav.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:23	2889/2889	---M-Z	200	added ('OK')	text/css	etag:%22b49-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/owl.carousel.min.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:24	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/magnific-popup.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/magnific-popup.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:25	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/nice-select.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/nice-select.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:25	1771/1771	---M-Z	200	added ('OK')	text/css	etag:%226eb-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/font-awesome.min.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:26	1068/1068	---M-Z	200	added ('OK')	text/css	etag:%2242c-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/style.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/style.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:26	15480/15480	---M-Z	200	added ('OK')	text/css	etag:%223c78-5c1f9e985c127-gzip%22	https://preview.colorlib.com/theme/roberto/css/bootstrap-datepicker.min.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/bootstrap-datepicker.min.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:27	4200/4200	---M-Z	200	added ('OK')	text/css	etag:%221068-5c1f9e985d0c7-gzip%22	https://preview.colorlib.com/theme/roberto/css/jquery-ui.min.css	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/css/jquery-ui.min.css	(from https://preview.colorlib.com/theme/roberto/style.css)
21:22:27	31051/31051	---M--	200	added ('OK')	image/jpeg	etag:%22794b-5820ab136dd80%22	https://preview.colorlib.com/theme/roberto/img/bg-img/43.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/43.jpg	(from https://preview.colorlib.com/theme/roberto/room.html)
21:22:28	59668/59668	---M--	200	added ('OK')	image/jpeg	etag:%22e914-5820ab1461fc0%22	https://preview.colorlib.com/theme/roberto/img/bg-img/44.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/44.jpg	(from https://preview.colorlib.com/theme/roberto/room.html)
21:22:28	34147/34147	---M--	200	added ('OK')	image/jpeg	etag:%228563-5820ab1556200%22	https://preview.colorlib.com/theme/roberto/img/bg-img/45.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/45.jpg	(from https://preview.colorlib.com/theme/roberto/room.html)
21:22:28	40135/40135	---M--	200	added ('OK')	image/jpeg	etag:%229cc7-5820ab164a440%22	https://preview.colorlib.com/theme/roberto/img/bg-img/46.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/46.jpg	(from https://preview.colorlib.com/theme/roberto/room.html)
21:22:29	47112/47112	---M--	200	added ('OK')	image/jpeg	etag:%22b808-5820ab164a440%22	https://preview.colorlib.com/theme/roberto/img/bg-img/47.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/47.jpg	(from https://preview.colorlib.com/theme/roberto/room.html)
21:22:30	53538/53538	---M--	200	added ('OK')	image/jpeg	etag:%22d122-5820aaf3f5340%22	https://preview.colorlib.com/theme/roberto/img/bg-img/19.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/19.jpg	(from https://preview.colorlib.com/theme/roberto/about.html)
21:22:31	66116/66116	---M--	200	added ('OK')	image/jpeg	etag:%2210244-5820aaf6d1a00%22	https://preview.colorlib.com/theme/roberto/img/bg-img/21.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/21.jpg	(from https://preview.colorlib.com/theme/roberto/about.html)
21:22:31	264177/264177	---M--	200	added ('OK')	image/jpeg	etag:%22407f1-5820aaf6d1a00%22	https://preview.colorlib.com/theme/roberto/img/bg-img/20.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/20.jpg	(from https://preview.colorlib.com/theme/roberto/about.html)
21:22:32	90582/90582	---M--	200	added ('OK')	image/jpeg	etag:%22161d6-5820aaf8b9e80%22	https://preview.colorlib.com/theme/roberto/img/bg-img/22.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/22.jpg	(from https://preview.colorlib.com/theme/roberto/about.html)
21:22:32	73003/73003	---M--	200	added ('OK')	image/jpeg	etag:%2211d2b-5820aafb96540%22	https://preview.colorlib.com/theme/roberto/img/bg-img/23.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/23.jpg	(from https://preview.colorlib.com/theme/roberto/about.html)
21:22:32	180086/180086	---M--	200	added ('OK')	image/jpeg	etag:%222bf76-5820ab1926b00%22	https://preview.colorlib.com/theme/roberto/img/bg-img/48.jpg	D:/Python/Lessons/Roberto/Roberto/preview.colorlib.com/theme/roberto/img/bg-img/48.jpg	(from https://preview.colorlib.com/theme/roberto/single-room.html)
